Name,Sales,Retail_Price,Averge_Sale_Price,Highest_Price,Lowest_Price,Release_Date
Jordan 4 Retro Bred (2019),28140,200,254,520,138,2019-05-04
Jordan 1 Retro High Travis Scott,17269,175,1013,3000,578,2019-05-11
Jordan 11 Retro Concord (2018),37993,220,278,500,175,2018-12-08
Jordan 1 Retro High Black Crimson Tint,14118,160,199,500,82,2019-04-12
Jordan 1 Retro High Turbo Green,23862,160,235,405,75,2019-02-15
Jordan 1 Low SB Midnight Navy,1691,110,144,232,110,2019-06-17
Jordan 11 Retro Low Snake Navy (2019),5154,185,165,350,115,2019-04-19
Jordan 6 Retro Black Infrared (2019),21192,200,239,470,150,2019-02-16
Jordan 1 Retro High Bred Toe,7791,160,367,750,100,2018-02-24
Jordan 7 Retro Patta Shimmer,3870,200,290,1200,140,2019-06-15
Jordan 1 Retro High Rookie of the Year,24811,160,245,800,145,2018-11-17
Jordan 1 Retro High Phantom Gym Red,9471,160,190,400,100,2019-03-30
Jordan 1 Retro High Shadow (2018),12791,160,225,615,100,2018-04-14
Jordan 1 Retro High Neutral Grey Hyper Crimson,17107,160,220,400,105,2019-01-24
Jordan 3 Retro Black Cement (2018),9513,200,243,355,150,2018-02-17
Jordan 1 Low Black Toe,4978,90,106,300,60,2019-04-01
Jordan 1 Retro High Spider-Man Origin Story,19839,160,306,634,195,2018-12-14
Jordan 1 Retro High Sports Illustrated (A Star Is Born),15958,160,205,431,90,2018-12-27
Jordan 1 Retro High OG Defiant Couture,9581,175,216,675,90,2019-02-23
Jordan 1 Retro High Turbo Green (GS),18916,120,225,455,129,2019-02-15
Jordan 1 Retro High UNC Patent (W),20934,160,386,719,221,2019-02-14
Jordan 11 Retro Win Like 96,5263,220,251,369,130,2017-12-09
Jordan 1 Retro High Off-White University Blue,11089,190,898,2500,570,2018-06-23
Jordan 1 Retro High Game Royal,7554,160,245,540,100,2018-07-18
Jordan 1 Retro High Twist (W),2989,160,198,450,134,2019-05-10
Jordan 1 Mid Patent Black White Gold,12233,120,163,352,87,2019-01-22
Jordan 11 Retro Space Jam (2016),5301,220,297,400,150,2016-12-10
Jordan 1 Retro Royal (2017),5032,160,274,430,175,2017-04-01
Jordan 3 Retro Tinker White University Red,2477,225,187,569,115,2019-03-30
Jordan 4 Retro Flight Nostalgia,4188,190,165,280,100,2019-03-02
Jordan 1 Retro High Homage To Home (Non-numbered),12145,160,281,475,155,2018-05-19
Jordan 11 Retro UNC Win Like 82,4176,220,225,345,165,2017-11-11
Jordan 4 Retro Travis Scott Cactus Jack,10937,225,384,908,285,2018-06-09
Jordan 14 Retro Rip Hamilton,2359,190,210,327,126,2019-04-06
Jordan 1 Retro Bred (2016),2829,160,475,700,140,2016-09-03
Jordan 1 Retro High Hyper Royal,2420,160,109,178,70,2018-07-07
Jordan 1 Retro High NRG Patent Gold Toe,4875,160,293,1000,175,2018-02-10
Jordan 13 Retro He Got Game (2018),7739,190,217,398,140,2018-08-04
Jordan 4 Retro Raptors (2018),6049,200,237,620,150,2018-08-18
Jordan 3 Retro Tinker Hatfield,5230,200,207,500,150,2018-03-24
Jordan 3 Retro True Blue (2016),2456,220,236,550,140,2016-11-25
Jordan 1 Mid SE Lakers,6054,120,178,600,80,2019-02-01
Jordan 1 Retro High Union Los Angeles Black Toe,5686,190,772,1563,420,2018-11-17
Jordan 1 Retro High Satin Shattered Backboard (W),4838,160,367,752,210,2018-05-05
Jordan 1 Low Sail University Gold Black,1570,90,101,230,70,2019-04-01
Jordan 1 Mid Alternate Think 16,6795,110,146,325,70,2018-12-13
Jordan 1 Mid Patent Black White Gold (GS),4019,90,126,184,80,2019-01-22
Jordan 11 Retro Legend Blue (2014),2462,200,271,440,210,2014-12-20
Jordan 11 Retro Low Cool Grey,3540,175,175,310,114,2018-04-28
Jordan 1 Retro High Blue Moon,2758,160,267,550,135,2018-05-01
Jordan 1 Retro Top 3,1322,160,445,672,150,2016-11-28
Jordan 3 Retro JTH Bio Beige,4463,250,294,800,185,2018-08-28
Jordan 1 Retro High Clay Green,3077,160,230,486,120,2018-05-01
Jordan 12 Retro Michigan,2259,225,232,400,150,2018-06-23
Jordan 11 Retro Heiress Black Stingray (GS),1593,220,162,250,85,2017-11-24
Jordan 1 Retro High Varsity Red,6640,160,601,1000,320,2018-11-07
Jordan 6 Retro UNC,1125,190,227,357,135,2017-12-02
Jordan 6 Retro Black Infrared 2019 (GS),6597,140,163,245,106,2019-02-16
